freq,indic_em,age,unit,geo\TIME_PERIOD	2021 	2022 	2023 	2024 	2025 
A,EMP_LFS,Y20-64,PC_POP,AT	8.6 	7.8 	7.8 	6.9 	6.8 
A,EMP_LFS,Y20-64,PC_POP,BA	26.9 	27.7 	27.4 	27.6 	28.3 
A,EMP_LFS,Y20-64,PC_POP,BE	7.7 	7.6 	7.6 	8.0 	7.1 
A,EMP_LFS,Y20-64,PC_POP,BG	8.4 	7.5 	7.3 	7.2 b	7.4 
A,EMP_LFS,Y20-64,PC_POP,CH	7.8 	7.9 	7.7 	6.9 	6.5 
A,EMP_LFS,Y20-64,PC_POP,CY	11.5 	10.9 	9.0 	10.0 	10.1 
A,EMP_LFS,Y20-64,PC_POP,CZ	15.4 	14.9 	13.9 	12.6 	10.7 
A,EMP_LFS,Y20-64,PC_POP,DE	7.3 	7.5 	7.4 	7.1 	6.8 
A,EMP_LFS,Y20-64,PC_POP,DK	6.9 	5.4 	5.6 b	6.5 	6.2 
A,EMP_LFS,Y20-64,PC_POP,EE	3.7 	2.9 	2.4 	1.7 	0.5 
A,EMP_LFS,Y20-64,PC_POP,EL	19.8 	21.0 	19.8 	18.8 	17.4 
A,EMP_LFS,Y20-64,PC_POP,ES	10.8 d	11.2 d	10.3 d	9.8 d	9.5 d
A,EMP_LFS,Y20-64,PC_POP,FI	2.0 	1.2 	0.2 	0.7 	1.3 
A,EMP_LFS,Y20-64,PC_POP,FR	6.2 d	5.8 d	5.5 d	5.9 d	5.6 d
A,EMP_LFS,Y20-64,PC_POP,HR	10.4 	9.4 	7.7 	5.9 	5.0 
A,EMP_LFS,Y20-64,PC_POP,HU	10.6 	9.8 	9.1 	7.9 	8.1 
A,EMP_LFS,Y20-64,PC_POP,IE	10.1 b	11.4 	9.9 	9.3 	9.0 
A,EMP_LFS,Y20-64,PC_POP,IS	7.4 	5.2 	6.1 	6.8 	: 
A,EMP_LFS,Y20-64,PC_POP,IT	19.2 	19.7 	19.5 	19.4 	19.1 
A,EMP_LFS,Y20-64,PC_POP,LT	1.4 	0.8 	1.5 	1.4 	-0.6 
A,EMP_LFS,Y20-64,PC_POP,LU	7.4 	6.5 	6.8 	5.5 	6.8 
A,EMP_LFS,Y20-64,PC_POP,LV	4.8 	3.1 	3.1 	3.3 	1.9 
A,EMP_LFS,Y20-64,PC_POP,MK	19.2 b	20.1 	18.0 	18.0 	18.7 
A,EMP_LFS,Y20-64,PC_POP,MT	17.6 	13.3 	14.1 	13.6 	12.4 
A,EMP_LFS,Y20-64,PC_POP,NL	8.2 	7.9 	7.8 	7.6 	7.6 
A,EMP_LFS,Y20-64,PC_POP,NO	4.8 	5.7 	5.0 	5.1 	5.0 
A,EMP_LFS,Y20-64,PC_POP,PL	13.9 	12.9 	11.8 	11.6 	11.3 
A,EMP_LFS,Y20-64,PC_POP,PT	5.7 	5.8 	5.5 	5.7 	5.4 
A,EMP_LFS,Y20-64,PC_POP,RO	20.1 	18.6 	19.1 	18.1 	18.7 
A,EMP_LFS,Y20-64,PC_POP,RS	14.7 	14.0 	12.5 	11.7 	11.5 
A,EMP_LFS,Y20-64,PC_POP,SE	5.4 	5.7 	4.7 	4.0 	3.9 
A,EMP_LFS,Y20-64,PC_POP,SI	6.7 	6.9 	6.1 	6.0 	4.9 
A,EMP_LFS,Y20-64,PC_POP,SK	8.5 	8.1 	7.7 	8.9 	8.7 
A,EMP_LFS,Y20-64,PC_POP,TR	39.4 b	38.9 	38.5 	38.1 	38.0 
